log.prior	log.likelihood	log.likelihood.test.set
-7.388377774038765438e+02 -5.999470699118355697e+02 -1.857929969385634195e+01
-7.351188589529142519e+02 -5.978367620839362644e+02 -1.844979374469795630e+01
-7.423710221273335037e+02 -6.019678087607003363e+02 -1.868099591969314588e+01
-7.367543362218193579e+02 -6.047062954141658793e+02 -1.856009945278867690e+01
-7.375437734568259884e+02 -6.004800363414824460e+02 -1.856796322563400281e+01
-7.332781282070135376e+02 -6.032218335421991924e+02 -1.839942829740044772e+01
-7.412514286671223545e+02 -6.015834982328830165e+02 -1.876533351911245973e+01
-7.379625219339637852e+02 -6.023125909090090317e+02 -1.856766053096060887e+01
-7.418611721603925844e+02 -6.012878647230289744e+02 -1.840576176725750202e+01
-7.389610552663714316e+02 -6.010435417816618155e+02 -1.881106146140228930e+01
-7.301173835022086678e+02 -6.016547829366638780e+02 -1.884867060545087725e+01
-7.414926184409008556e+02 -6.007755492419942129e+02 -1.844794034265510163e+01
-7.481805304001028389e+02 -6.023135270171337652e+02 -1.872556501726558054e+01
-7.303833420342995169e+02 -6.013603345449193966e+02 -1.857134277856732751e+01
-7.312349083045951375e+02 -6.060804017852035486e+02 -1.892967299318206642e+01
-7.297942266032425778e+02 -6.051836853339170830e+02 -1.863654957861143657e+01
-7.308101577861082205e+02 -6.124868678139516760e+02 -1.863159963604528002e+01
-7.271137607391056008e+02 -6.062557648848710414e+02 -1.853690825984489265e+01
-7.301238375003482588e+02 -6.067637169657933782e+02 -1.862270080759947177e+01
-7.338352760993029733e+02 -5.942390383720759246e+02 -1.837620172729123169e+01
-7.143265967416983813e+02 -5.987720193063751140e+02 -1.847569830603629271e+01
-7.126010446761160892e+02 -5.996456525383923690e+02 -1.844492400112301311e+01
-7.039726517955471081e+02 -5.993932108309186333e+02 -1.844652244378676187e+01
-7.069673457319497629e+02 -5.987375884237401351e+02 -1.895507506341743920e+01
-7.110702944275490154e+02 -6.055884980489968257e+02 -1.918392321433373127e+01
-7.141643331239945383e+02 -6.016254779824249681e+02 -1.868997559767899475e+01
-7.117712573559205111e+02 -6.041099139249237169e+02 -1.890049938479103275e+01
-7.201773987013805254e+02 -6.054122991847688127e+02 -1.805194160481389076e+01
-7.126084841994097587e+02 -6.060490806713021357e+02 -1.831162088529663379e+01
-7.142229108259296027e+02 -6.033604225534700163e+02 -1.854545279621106602e+01
-7.161120281190806054e+02 -6.025413068985175187e+02 -1.850375132972743586e+01
-7.188672389667681273e+02 -5.999200682864077407e+02 -1.867628877312080249e+01
-7.143287696371909306e+02 -6.023138152095751821e+02 -1.874224843552400444e+01
-7.266520198145923359e+02 -5.986920554846524283e+02 -1.860888021243931689e+01
-7.338047955117109495e+02 -6.023646610519201658e+02 -1.852589496972512961e+01
-7.320038681914707013e+02 -6.064974642177628539e+02 -1.847075372131644144e+01
-7.280005608146416307e+02 -6.044369346866960768e+02 -1.879081298786104526e+01
-7.300692773315618069e+02 -5.993241059645879432e+02 -1.867419580996630657e+01
-7.345774626250974961e+02 -5.991125243180546249e+02 -1.884480316321918281e+01
-7.340273513584917282e+02 -6.060536653764906987e+02 -1.845654954485070220e+01
-7.380902343138043307e+02 -5.991163391650934500e+02 -1.846861219249774422e+01
-7.302962468216605885e+02 -6.018642781672185720e+02 -1.871172079600529514e+01
-7.281687199468572089e+02 -6.035093864403984298e+02 -1.835510155875789451e+01
-7.368573919134498738e+02 -6.013768595469884986e+02 -1.844433987457750845e+01
-7.361569883052459318e+02 -6.013207827339163032e+02 -1.850289410429132886e+01
-7.399674299079644015e+02 -5.983053736740262138e+02 -1.866067696294805955e+01
-7.264816786282848398e+02 -5.999728135408743128e+02 -1.828585325346813306e+01
-7.251297214437639695e+02 -6.006807205048370406e+02 -1.830347880024447704e+01
-7.295748116068812124e+02 -6.044401508611941836e+02 -1.911502528148264446e+01
-7.401855312074393396e+02 -6.055678647825593544e+02 -1.840063259021860631e+01
-7.316189414569807923e+02 -6.055568982142322056e+02 -1.841729226753756166e+01
-7.320688218182460787e+02 -6.014097321405411094e+02 -1.882231541705607469e+01
-7.271257421335701565e+02 -6.047949829671182442e+02 -1.885072837255717104e+01
-7.317429455711456967e+02 -6.049518543890824276e+02 -1.875996206836163083e+01
-7.327619473886401238e+02 -6.016188430423535465e+02 -1.897642462624241944e+01
-7.218616827926598489e+02 -6.072328879070894345e+02 -1.886051930349987060e+01
-7.316869945182636457e+02 -6.085204059447703457e+02 -1.866746911337219217e+01
-7.455660701623661453e+02 -6.115637733066674855e+02 -1.873327041772427037e+01
-7.412349555826514234e+02 -6.054902562944976125e+02 -1.851675891593768597e+01
-7.475296566500518338e+02 -6.020023145432286356e+02 -1.913050832772853482e+01
-7.422969719410643847e+02 -6.048267564381812917e+02 -1.927085386355543051e+01
-7.309259391601374318e+02 -6.044680619762746119e+02 -1.855638494000436367e+01
-7.280466872550837252e+02 -5.993260486803867479e+02 -1.855191365296593631e+01
-7.136319687453005827e+02 -6.071952636949320095e+02 -1.848438819329902572e+01
-7.136989762443270138e+02 -6.022680752261865109e+02 -1.836802458232347135e+01
-7.066338516455815579e+02 -6.040450800232043775e+02 -1.847463680768100858e+01
-7.100367488210084730e+02 -6.043536632954455854e+02 -1.848166773067595159e+01
-7.126025640712784934e+02 -6.019971265037384001e+02 -1.873575134947981269e+01
-7.100085604380082032e+02 -6.034177664382834791e+02 -1.863405864660842326e+01
-7.075072130347475650e+02 -6.036248018229470063e+02 -1.876204941305496732e+01
-7.099018552049365098e+02 -6.056608188570126003e+02 -1.846599538007322394e+01
-7.182501161310185580e+02 -6.026738287128641787e+02 -1.936356151671253656e+01
-7.120216441661666522e+02 -5.990046855641446655e+02 -1.914374020645260543e+01
