influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 9.745343931828713835e+00 9.182872907738111934e+00 7.115551763863903201e-01 0.000000000000000000e+00 1.241766324235514726e-09 9.680984776773239986e+00 9.112036228939444982e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.196941844403484723e+00 9.234307010514331893e+00 3.006756894079405384e+00 0.000000000000000000e+00 5.065261894833980100e-09 9.647613878821351463e+00 9.116365067195562943e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.530478357200449224e+00 9.504623108666145015e+00 5.455140728353107704e+00 0.000000000000000000e+00 1.162243842492807928e-08 9.661414051480146981e+00 9.812015632902559403e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.577171438997442721e+00 9.005664295166669220e+00 8.190762647053741574e+00 0.000000000000000000e+00 7.069898911135185927e-09 9.490515207574112821e+00 9.270210838950742271e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.262724411471950248e+00 9.816222433547606485e+00 5.361157583206471955e+00 0.000000000000000000e+00 7.848359513042401876e-08 9.796036795167010425e+00 9.666675423960384705e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.645075099462234292e+00 9.900295302596211044e+00 2.692874535726190732e+00 0.000000000000000000e+00 2.779347711512263475e-07 9.539815791177993276e+00 9.897243559130496138e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.147792540655020233e+00 9.948778016892100950e+00 5.565591202092323719e-01 0.000000000000000000e+00 1.892661743622412546e-07 9.736274664250936794e+00 9.825911761248816489e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.924269381463052042e+00 9.972472491825410401e+00 9.664884763633829756e-01 0.000000000000000000e+00 1.037195041643442895e-07 9.783939578345925980e+00 9.037973003876825118e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.412772923072825648e+00 8.977795739732806979e+00 3.175478613864064492e+00 0.000000000000000000e+00 5.524665688726117683e-08 9.885785057881051330e+00 9.910580506189997863e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.495692879559699762e+00 8.453130778953823921e+00 5.456276404674561320e+00 0.000000000000000000e+00 2.359394370508480790e-07 9.632722093269965313e+00 9.746166423162591741e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.082406585702699431e+00 8.859887460257136027e+00 8.976133342328768805e+00 0.000000000000000000e+00 4.902893074703552308e-07 7.057496793550875225e+00 9.186469017964929762e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.994869473393709569e+00 7.788615418126694223e+00 9.935709859428650148e+00 0.000000000000000000e+00 1.129749728987871320e-07 6.771472687137708668e+00 9.434910640038076224e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.499275147871118818e+00 7.130908200481433035e+00 8.881465243261960296e+00 0.000000000000000000e+00 3.629503803800544252e-08 7.169859598806107570e+00 9.583925347384967708e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.803609558802840240e+00 9.012852873146837140e+00 9.870584592667063006e+00 0.000000000000000000e+00 1.336846831283432367e-07 8.057029606064798344e+00 6.321368905700586183e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.356042807464964639e+00 8.387907753653088605e+00 7.108258299169245120e+00 0.000000000000000000e+00 4.498310647731199460e-07 9.075864602904719192e+00 7.732528043694927078e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.431205479878522979e+00 9.455204118679818137e+00 9.757987289496059091e+00 0.000000000000000000e+00 2.788442150118757371e-07 9.266406322636640880e+00 8.400797564005486606e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.071340664587902225e+00 9.758403482935383622e+00 9.279775953867247296e+00 0.000000000000000000e+00 3.042901230253846806e-07 9.872581233922026911e+00 9.740570794094029594e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.157596583514610700e+00 6.622950551842450295e+00 8.311581109258527889e+00 0.000000000000000000e+00 4.877344978034942177e-08 9.971971070659567005e+00 8.050510516305649844e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.739765928656021643e+00 9.493861904911305771e+00 8.824636852053613367e+00 0.000000000000000000e+00 2.775488871303481000e-08 9.843525029997943321e+00 8.229692372044805637e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.485346598890469494e+00 9.590504738290281495e+00 8.140861032796403052e+00 0.000000000000000000e+00 4.973441322523224185e-07 9.479309062179025247e+00 7.147010575278079259e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.130135880794460590e+00 6.879124427552793186e+00 9.197558215228973211e+00 0.000000000000000000e+00 1.430179471169922061e-06 9.770172076001632178e+00 9.619624395787287341e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.911201125324300421e+00 6.527909673041976113e+00 8.993027449620262459e+00 0.000000000000000000e+00 1.193844495314646113e-06 8.981101488930764987e+00 9.720824873325820903e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.808702297514471979e+00 9.501475301326321343e+00 7.323969261303206579e+00 0.000000000000000000e+00 4.246945052975904245e-07 9.414561216897553209e+00 8.521691075955953210e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.303852761996507681e+00 9.800959515974801306e+00 7.550101028856797569e+00 0.000000000000000000e+00 3.883073008868399626e-07 9.579698925326965764e+00 8.766642324169957590e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.010466369868348480e+00 9.550396806834164920e+00 7.288341301271233696e+00 0.000000000000000000e+00 1.546070558280711787e-08 9.545356492814942584e+00 9.698441648448692831e+00 0.000000000000000000e+00
