word.concentration.1	word.concentration.2	word.concentration.3	
3.003908550706722913e+00 7.678896635877872967e+00 3.152420939109310538e+00
3.924191889592264282e+00 7.404522544050571753e+00 4.289024499800995649e+00
3.092864040729023767e+00 8.563252914320324649e+00 4.909474691456470197e+00
3.646294236335082761e+00 5.411041794364500390e+00 3.726449155347729469e+00
4.037759561231385241e+00 6.001734291599339244e+00 5.323348229634588868e+00
4.575489560237166131e+00 5.653211048177289477e+00 6.443469760523075962e+00
2.437747551025096548e+00 4.541143141223926705e+00 3.723733086430407901e+00
3.530973563328938081e+00 6.635719615937738070e+00 2.915243901395250248e+00
2.492530541497746555e+00 6.208947939207055455e+00 6.818918623030643111e+00
3.095165989285861841e+00 6.890798473485010511e+00 2.829435318655164622e+00
3.309798857924333149e+00 7.632703674981611286e+00 5.500872805071373328e+00
3.165560950009785657e+00 7.104703063692380915e+00 5.870613249957229662e+00
3.539221367269205665e+00 9.640782184317934878e+00 9.816717516613772787e+00
2.844939730146774259e+00 6.226276167600696354e+00 7.643457272283239234e+00
2.822115819645197643e+00 7.438728725137213615e+00 5.335407735250607075e+00
3.648545547467789696e+00 7.668076533587374399e+00 3.513529618597821536e+00
3.873306046497682509e+00 8.047877335706319357e+00 5.251455170306785547e+00
3.198656468285839161e+00 8.034671928399129470e+00 5.130040558792893890e+00
5.565408920709364438e+00 9.727504291733531261e+00 5.327975547035631365e+00
3.264765767161204035e+00 4.950659431164779356e+00 6.155366779708287162e+00
3.393987695501269108e+00 4.802608615839278450e+00 4.156555537187156091e+00
4.135716583471490182e+00 7.608454118971543778e+00 5.348018416146770093e+00
3.365235601987526692e+00 7.600522953208577626e+00 4.427671640244080109e+00
2.374628651189331752e+00 4.042119942384410081e+00 5.488554944514765666e+00
3.149334513226012433e+00 5.573990932325775916e+00 4.774033381860154357e+00
3.874049109036102223e+00 6.262913075181770317e+00 7.340398750357859825e+00
3.520252684871095994e+00 7.740952966746670327e+00 2.545545247055469140e+00
3.907054418984022170e+00 7.505220944626119106e+00 2.216490320425546834e+00
3.508712695849169005e+00 4.732378538156044812e+00 6.002962745844424575e+00
3.630989605228398531e+00 6.734749063391351598e+00 5.895097769518518049e+00
3.846129312572467374e+00 7.840000436202518408e+00 6.240955798525789078e+00
2.881672662623404158e+00 5.568851791545527341e+00 5.077176510029981493e+00
3.991029324950978285e+00 8.191692585956005246e+00 4.450912047131220461e+00
2.769973067736570815e+00 9.556018429594722363e+00 4.479047576947735365e+00
1.983923914185146353e+00 7.775172064320995169e+00 4.457950702637185181e+00
3.749801713899129307e+00 9.915210497179117510e+00 4.172149318279208430e+00
3.953309511794522724e+00 5.345490726542334592e+00 6.144687892880977387e+00
4.470949513846684376e+00 7.539645443845206962e+00 3.516313005819019732e+00
2.699322508398434461e+00 9.443598014863068713e+00 5.981314306000955483e+00
3.792233508571107414e+00 9.292857925394102381e+00 5.292080982375026110e+00
4.497124267974381695e+00 4.969696579721958329e+00 4.537931659020343567e+00
3.098008506038849585e+00 4.571239668854590654e+00 4.633919184851055029e+00
2.840816534251319858e+00 6.496357159785611124e+00 6.493850722566032907e+00
3.020316325378992417e+00 5.486300540054860342e+00 2.862357729805518503e+00
4.374531711237915843e+00 6.464195989342262472e+00 7.475946305929959124e+00
3.385606795377872569e+00 8.029843137128560571e+00 6.623324017521222018e+00
3.616908734314545626e+00 8.795249046677673377e+00 6.022838769838847028e+00
2.754723232571718583e+00 9.114352959668430287e+00 4.678177580244016198e+00
3.569612027284216893e+00 9.423063555080275933e+00 5.264398227849157230e+00
3.565779450963188157e+00 7.568407031730970402e+00 5.031595364256744141e+00
4.198029661164481396e+00 7.800416718389542758e+00 4.033093512384149371e+00
3.189740083294210660e+00 7.424732019390203774e+00 6.759524165593123968e+00
3.045935936616381845e+00 5.384677500174459119e+00 3.904974684406541385e+00
3.151784946730493697e+00 7.816545411129924403e+00 6.504824510453236286e+00
2.413943517666516492e+00 7.335955879882699371e+00 3.554310477456756878e+00
4.295514335147347040e+00 6.060600931160435856e+00 6.194454352991476398e+00
3.228588997633200730e+00 6.202564604031623574e+00 2.576048686530783005e+00
5.900842663621608253e+00 7.063919909941686726e+00 3.605930863531151775e+00
2.604819619971495914e+00 7.256178331641229384e+00 3.556852015717539395e+00
4.182114569257816328e+00 7.035351896524829840e+00 3.579787058131481903e+00
4.341995049868413226e+00 6.926958438627620396e+00 4.937260146708791098e+00
3.147669092049506290e+00 4.572846486637279106e+00 5.635357980318977944e+00
4.340869085778503056e+00 5.300944006265482678e+00 6.664019508091755917e+00
4.761496715500513233e+00 7.786719646110241477e+00 4.658447587278944368e+00
5.227637333919311402e+00 4.034108222235988528e+00 4.596977224605468315e+00
3.545417365248470176e+00 6.881961715741154784e+00 3.902686840441258020e+00
3.632556846334528800e+00 6.960804684660730324e+00 4.620594503572075240e+00
3.389811134350874333e+00 8.085200772962025439e+00 3.477681169396112271e+00
3.626479876568328820e+00 8.131633761075786282e+00 5.376331533646807159e+00
