time.decay.1	time.decay.2	time.decay.3	
1.064755243672053240e+02 1.186474604593787205e+02 9.213077639688802378e+01
8.792129430626857811e+01 1.026857654154464399e+02 1.072577792925677187e+02
1.062395129133754494e+02 1.122145260685934858e+02 1.121797217143976297e+02
1.099927841012725480e+02 1.015217433839908665e+02 1.061787514787035178e+02
1.090062427255447233e+02 1.008069708334081156e+02 1.021729876905087906e+02
1.118251250941182491e+02 1.022600321148980669e+02 9.109549009445062495e+01
1.054200233524134376e+02 9.596388730939632694e+01 9.933920810102328858e+01
9.883651033932741825e+01 1.193119564157625234e+02 1.040627716635811737e+02
1.079888695266016896e+02 1.003908715955923299e+02 8.792153512408100369e+01
8.986638642622523321e+01 9.331680880741834017e+01 8.743302992359276971e+01
8.979963919981825882e+01 1.130664289336446870e+02 9.511475664666883745e+01
1.218168513030349800e+02 1.110907093291335599e+02 1.026236845396302044e+02
1.252525078138515937e+02 1.035888934939184907e+02 9.063718822096863903e+01
8.287505602168135965e+01 9.939043447378485041e+01 9.626335330583364680e+01
9.547693386680253980e+01 8.283955266011270169e+01 1.009829722327919228e+02
9.636608466166197218e+01 9.113963632962108363e+01 1.072654075314881368e+02
9.544204277311396822e+01 1.205548541930333215e+02 9.747716785414384333e+01
1.162620872067511471e+02 1.146472261739148450e+02 1.075544482178539596e+02
1.018978072864386064e+02 1.188310789617391094e+02 9.613972392359012531e+01
1.031299578590674457e+02 1.115633205148459268e+02 1.036556932744204715e+02
1.017470217167408748e+02 1.126417914747922424e+02 1.031036221730037283e+02
9.658524273425437912e+01 8.747770466338195661e+01 1.122940200525857648e+02
9.620484240091511197e+01 8.840990448755090370e+01 9.485152475809582029e+01
8.919918346825144795e+01 1.112929589063397628e+02 9.621659417542623771e+01
8.998800048577811594e+01 9.649754360709098933e+01 1.024283424994197276e+02
1.018251848739268439e+02 1.063208823789937867e+02 9.552840338364930517e+01
1.056320256928312631e+02 1.043100854106254189e+02 9.690033290728203497e+01
